"Nom_site","treatment_site","treatment","contamination","control_site","control_treatment","control_contamination","indicator","raw_treatment","raw_control","LRR","framework","score_treatment","score_control","delta_score"
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","ab",7782,2828,1.01224362652804,"RMQS_BioDiv_Bretagne",3,2,1
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","ab",7782,2828,1.01224362652804,"ANDRA",4,2,2
"Yvetot","B10YVSII","prair rest 2","non","B10YVGC","blé","non","ab",7782,2828,1.01224362652804,"TIGA_rural",5,3,2
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","ab",88,2828,-3.46998821253826,"RMQS_Biodiversite",0,3,-3
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","ab",88,2828,-3.46998821253826,"RMQS_BioDiv_Bretagne",0,2,-2
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","ab",88,2828,-3.46998821253826,"ANDRA",1,2,-1
"Yvetot","B10YVSIII","blé","non","B10YVGC","blé","non","ab",88,2828,-3.46998821253826,"TIGA_rural",1,3,-2
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","ab",13794,2828,1.58466396697477,"RMQS_Biodiversite",5,3,2
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","ab",13794,2828,1.58466396697477,"RMQS_BioDiv_Bretagne",4,2,2
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","ab",13794,2828,1.58466396697477,"ANDRA",5,2,3
"Yvetot","B10YVSIV","prair temp","non","B10YVGC","blé","non","ab",13794,2828,1.58466396697477,"TIGA_rural",5,3,2
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","RSr",10.3112386898104,3,1.23462214664548,"RMQS_Biodiversite",5,1,4
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","RSr",10.3112386898104,3,1.23462214664548,"RMQS_BioDiv_Bretagne",5,1,4
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","RSr",10.3112386898104,3,1.23462214664548,"ANDRA",4,1,3
"MetalEurope","B09M103C","103","oui","B09MTEC","T","non","RSr",10.3112386898104,3,1.23462214664548,"TIGA_rural",5,1,4
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","RSr",7.9999999980057,3,0.980829252762439,"RMQS_Biodiversite",4,1,3
"MetalEurope","B09M117C","117","oui","B09MTEC","T","non","RSr",7.9999999980057,3,0.980829252762439,"RMQS_BioDiv_Bretagne",3,1,2
