"site_id","indicator","framework","scenario","raw_value","score"
"B10THLA","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",8489,3
"B10THLT","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",12822,4
"B10THTR","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",5568,3
"B10THTS","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",7161,3
"B10YVGC","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",2828,2
"B10YVPP","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",441,1
"B10YVSI","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",4509,2
"B10YVSII","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",7782,3
"B10YVSIII","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",88,0
"B10YVSIV","ab","RMQS_BioDiv_Bretagne","revised_full_untrimmed",13794,4
"B09BIO","RSr","ANDRA","revised_full_untrimmed",4,1
"B09DUB","RSr","ANDRA","revised_full_untrimmed",7.99999816602686,3
"B09FUM","RSr","ANDRA","revised_full_untrimmed",6,2
"B09M103C","RSr","ANDRA","revised_full_untrimmed",10.3112386898104,4
"B09M117C","RSr","ANDRA","revised_full_untrimmed",7.9999999980057,3
"B09MTEC","RSr","ANDRA","revised_full_untrimmed",3,1
"B09OMR","RSr","ANDRA","revised_full_untrimmed",2,1
"B09TEM","RSr","ANDRA","revised_full_untrimmed",5.99999999921906,1
"B10AUPTé","RSr","ANDRA","revised_full_untrimmed",4.99992812454887,1
"B10G0ES","RSr","ANDRA","revised_full_untrimmed",2,1
"B10GOBA","RSr","ANDRA","revised_full_untrimmed",7.35531579545355,3
"B10GOBS","RSr","ANDRA","revised_full_untrimmed",4.99964508954676,1
"B10GOEA","RSr","ANDRA","revised_full_untrimmed",6.99956731439765,2
"B10GOES","RSr","ANDRA","revised_full_untrimmed",8.24562066128995,3
"B10GORA","RSr","ANDRA","revised_full_untrimmed",3.54709678370144,1
"B10GORS","RSr","ANDRA","revised_full_untrimmed",5.99996343277491,1
"B10THLA","RSr","ANDRA","revised_full_untrimmed",8.99069639768162,3
"B10THLT","RSr","ANDRA","revised_full_untrimmed",12.8790411819595,5
"B10THTR","RSr","ANDRA","revised_full_untrimmed",11.9983426509358,5
"B10THTS","RSr","ANDRA","revised_full_untrimmed",9.99535556235837,4
"B10YVGC","RSr","ANDRA","revised_full_untrimmed",4.99999994553415,1
"B10YVPP","RSr","ANDRA","revised_full_untrimmed",4,1
"B10YVSI","RSr","ANDRA","revised_full_untrimmed",2.99999999999999,1
"B10YVSII","RSr","ANDRA","revised_full_untrimmed",5.99999315079364,1
"B10YVSIII","RSr","ANDRA","revised_full_untrimmed",0,1
"B10YVSIV","RSr","ANDRA","revised_full_untrimmed",8.92318471557118,3
"B09BIO","Shannon","ANDRA","revised_full_untrimmed",1.22207116334987,1
"B09DUB","Shannon","ANDRA","revised_full_untrimmed",1.55628991332893,2
"B09FUM","Shannon","ANDRA","revised_full_untrimmed",1.60786408099892,2
"B09M103C","Shannon","ANDRA","revised_full_untrimmed",1.59609186253755,2
"B09M117C","Shannon","ANDRA","revised_full_untrimmed",1.68972252521473,3
"B09MTEC","Shannon","ANDRA","revised_full_untrimmed",0.637617431479338,1
"B09OMR","Shannon","ANDRA","revised_full_untrimmed",0.673194708883317,1
"B09TEM","Shannon","ANDRA","revised_full_untrimmed",0.998725543708591,1
"B10AUPTé","Shannon","ANDRA","revised_full_untrimmed",0.86966488069994,1
